"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","1999","1999",Suppressed,3795762,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2000","2000",Suppressed,3805648,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2001","2001",Suppressed,4012658,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2002","2002",Suppressed,3951461,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2003","2003",Suppressed,3975871,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2004","2004",Suppressed,4014258,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2005","2005",Suppressed,4004393,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2006","2006",Suppressed,4041738,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2007","2007",Suppressed,4147997,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2008","2008",Suppressed,4132735,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2009","2009",Suppressed,4003587,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2010","2010",11,3944153,Unreliable,0.1,0.5,0.1
,"< 1 year","1","2011","2011",12,3996537,Unreliable,0.2,0.5,0.1
,"< 1 year","1","2012","2012",17,3943077,Unreliable,0.3,0.7,0.1
,"< 1 year","1","2013","2013",Suppressed,3941783,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2014","2014",Suppressed,3948350,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","2015","2015",13,3978038,Unreliable,0.2,0.6,0.1
,"< 1 year","1","2016","2016",12,3970145,Unreliable,0.2,0.5,0.1
,"< 1 year","1","2017","2017",19,3939295,Unreliable,0.3,0.8,0.1
,"< 1 year","1","2018","2018",15,3848208,Unreliable,0.2,0.6,0.1
,"< 1 year","1","2019","2019",19,3783052,Unreliable,0.3,0.8,0.1
,"< 1 year","1","2020","2020",24,3735010,0.6,0.4,1.0,0.1
,"1-4 years","1-4","1999","1999",Suppressed,15339782,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","2000","2000",Suppressed,15370150,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","2001","2001",13,15285559,Unreliable,0.0,0.1,0.0
,"1-4 years","1-4","2002","2002",15,15477731,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","2003","2003",16,15616575,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","2004","2004",17,15771627,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","2005","2005",20,15913007,0.1,0.1,0.2,0.0
,"1-4 years","1-4","2006","2006",23,15897145,0.1,0.1,0.2,0.0
,"1-4 years","1-4","2007","2007",31,15977965,0.2,0.1,0.3,0.0
,"1-4 years","1-4","2008","2008",37,16138392,0.2,0.2,0.3,0.0
,"1-4 years","1-4","2009","2009",27,16240931,0.2,0.1,0.2,0.0
