"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"< 1 year","1","Female","F","1999","1999",Suppressed,1852123,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2000","2000",Suppressed,1856631,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2001","2001",Suppressed,1962905,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2002","2002",Suppressed,1932939,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2003","2003",Suppressed,1942634,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2004","2004",Suppressed,1962216,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2005","2005",Suppressed,1956682,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2006","2006",Suppressed,1975919,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2007","2007",Suppressed,2027181,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2008","2008",Suppressed,2022889,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2009","2009",Suppressed,1959169,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2010","2010",Suppressed,1929877,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2011","2011",Suppressed,1952827,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2012","2012",Suppressed,1926339,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2013","2013",Suppressed,1925056,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2014","2014",Suppressed,1930493,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2015","2015",Suppressed,1942904,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2016","2016",Suppressed,1939667,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2017","2017",10,1924145,Unreliable,0.2,1.0,0.2
,"< 1 year","1","Female","F","2018","2018",Suppressed,1879703,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2019","2019",Suppressed,1847935,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Female","F","2020","2020",11,1826869,Unreliable,0.3,1.1,0.2
,"< 1 year","1","Male","M","1999","1999",Suppressed,1943639,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2000","2000",Suppressed,1949017,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2001","2001",Suppressed,2049753,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2002","2002",Suppressed,2018522,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2003","2003",Suppressed,2033237,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2004","2004",Suppressed,2052042,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2005","2005",Suppressed,2047711,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2006","2006",Suppressed,2065819,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2007","2007",Suppressed,2120816,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2008","2008",Suppressed,2109846,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2009","2009",Suppressed,2044418,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2010","2010",Suppressed,2014276,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2011","2011",Suppressed,2043710,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2012","2012",Suppressed,2016738,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2013","2013",Suppressed,2016727,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2014","2014",Suppressed,2017857,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2015","2015",Suppressed,2035134,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2016","2016",Suppressed,2030478,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2017","2017",Suppressed,2015150,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2018","2018",Suppressed,1968505,Suppressed,Suppressed,Suppressed,Suppressed
,"< 1 year","1","Male","M","2019","2019",10,1935117,Unreliable,0.2,1.0,0.2
,"< 1 year","1","Male","M","2020","2020",13,1908141,Unreliable,0.4,1.2,0.2
,"1-4 years","1-4","Female","F","1999","1999",Suppressed,7493614,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2000","2000",0,7508434,Unreliable,0.0,0.0,0.0
,"1-4 years","1-4","Female","F","2001","2001",Suppressed,7468536,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2002","2002",11,7564711,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2003","2003",Suppressed,7636693,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2004","2004",Suppressed,7713175,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2005","2005",Suppressed,7785123,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2006","2006",Suppressed,7775092,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2007","2007",15,7813088,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2008","2008",23,7891294,0.3,0.2,0.4,0.1
,"1-4 years","1-4","Female","F","2009","2009",13,7943260,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2010","2010",Suppressed,7952058,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2011","2011",12,7909731,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2012","2012",Suppressed,7856870,Suppressed,Suppressed,Suppressed,Suppressed
,"1-4 years","1-4","Female","F","2013","2013",10,7790614,Unreliable,0.1,0.2,0.0
,"1-4 years","1-4","Female","F","2014","2014",16,7790662,Unreliable,0.1,0.3,0.1
,"1-4 years","1-4","Female","F","2015","2015",23,7786776,0.3,0.2,0.4,0.1
,"1-4 years","1-4","Female","F","2016","2016",15,7800517,Unreliable,0.1,0.3,0.0
,"1-4 years","1-4","Female","F","2017","2017",Suppressed,7818747,Suppressed,Suppressed,Suppressed,Suppressed
